adaptation_fraction,repeat,adaptation_n,evaluation_n,method,score_threshold,platt_slope,platt_intercept,brier,log_loss,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall,predicted_real_rate
0.05,146,1029,19558,adaptation_platt_probability_0.5,,0.0241502204103405,1.2080836351954525,0.17786724493684228,0.5409937406581177,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,147,1029,19558,locked_zero_threshold,0.0,,,,,0.4365988342366295,0.5173573883448408,0.42727840801674155,0.6676977463543968,0.3670170303352847,0.3589835361488905
0.05,147,1029,19558,adaptation_balanced_accuracy_threshold,0.27226444133133276,,,,,0.3562736476122303,0.511119627663665,0.35615275394637336,0.799381352187362,0.22285790313996806,0.2177114224358319
0.05,147,1029,19558,adaptation_platt_probability_0.5,,-0.12980231250615648,1.1684451563103877,0.17816520932235053,0.5418094145672587,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,148,1029,19558,locked_zero_threshold,0.0,,,,,0.43562736476122305,0.5157988778453955,0.4262527868496554,0.6650463985859478,0.366551357104843,0.35923918601083954
0.05,148,1029,19558,adaptation_balanced_accuracy_threshold,-0.031232763879612213,,,,,0.4459044892115758,0.5158445162325087,0.4336842125794834,0.6460450729120636,0.3856439595529537,0.37831066571224053
0.05,148,1029,19558,adaptation_platt_probability_0.5,,-0.026439643981028764,1.1943429614818561,0.1778784259870193,0.5410252667172936,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,149,1029,19558,locked_zero_threshold,0.0,,,,,0.4359341445955619,0.5163072938873429,0.4265798961696562,0.6659301811754308,0.36668440659925494,0.3591369260660599
0.05,149,1029,19558,adaptation_balanced_accuracy_threshold,-0.05139861525307077,,,,,0.4537785049596073,0.5178012933139895,0.4396180670042662,0.636986301369863,0.39861628525811604,0.39037733919623685
0.05,149,1029,19558,adaptation_platt_probability_0.5,,-0.03236115273111634,1.1929707501198519,0.17788545792735808,0.541044194390051,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,150,1029,19558,locked_zero_threshold,0.0,,,,,0.4358830146231721,0.5168145046643167,0.42664176697719536,0.6674768007070261,0.36615220862160724,0.3583699764802127
0.05,150,1029,19558,adaptation_balanced_accuracy_threshold,1.391438910904431,,,,,0.23340832395950506,0.49905812951812684,0.19197122889093954,0.9935925762262483,0.004523682810005322,0.004959607321812046
0.05,150,1029,19558,adaptation_platt_probability_0.5,,-0.2500235786918049,1.1472825404141467,0.1789211154943348,0.543905253200668,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,151,1029,19558,locked_zero_threshold,0.0,,,,,0.4359341445955619,0.5162300834372604,0.42656466248644664,0.66570923552806,0.36675093134646086,0.35923918601083954
0.05,151,1029,19558,adaptation_balanced_accuracy_threshold,-0.25218785711231284,,,,,0.5184067900603334,0.510816297745837,0.47467477684946624,0.4966858152894388,0.5249467802022353,0.5199406892320279
0.05,151,1029,19558,adaptation_platt_probability_0.5,,-0.015017460367413648,1.197261166748858,0.17786834976578741,0.5409978152393662,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,152,1029,19558,locked_zero_threshold,0.0,,,,,0.4355762347888332,0.5158428259218748,0.4262236677224353,0.6652673442333186,0.3664183076104311,0.3590857960936701
0.05,152,1029,19558,adaptation_balanced_accuracy_threshold,-0.18144289603229413,,,,,0.4938132733408324,0.5104908174095293,0.4619993205367193,0.5415377817057004,0.4794438531133582,0.47458840372226196
0.05,152,1029,19558,adaptation_platt_probability_0.5,,0.10184104637246483,1.2280845468772275,0.17802277410950193,0.5414029876446026,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,153,1029,19558,locked_zero_threshold,0.0,,,,,0.4357807546783925,0.5162847172166164,0.42646200017132596,0.6661511268228016,0.3664183076104311,0.35888127620411087
0.05,153,1029,19558,adaptation_balanced_accuracy_threshold,-0.37844884807512713,,,,,0.5540443808160344,0.5040425175151457,0.4860011109868754,0.410958904109589,0.5971261309207025,0.5952551385622252
0.05,153,1029,19558,adaptation_platt_probability_0.5,,0.15362284461597023,1.2443673744899384,0.1782446692461759,0.5419830806026534,0.7685857449636977,0.5000772104500825,0.4347935322244566,0.0002209456473707468,0.9999334752527941,0.9998977400552204
0.05,154,1029,19558,locked_zero_threshold,0.0,,,,,0.4352694549544943,0.5152571994298449,0.425881301241396,0.6641626159964649,0.3663517828632251,0.35929031598322936
0.05,154,1029,19558,adaptation_balanced_accuracy_threshold,-0.06568625286721053,,,,,0.45843133244708045,0.5171992781579882,0.44262070377541785,0.6266018559434379,0.40779670037253857,0.3998363840883526
0.05,154,1029,19558,adaptation_platt_probability_0.5,,-0.0083973718260782,1.1990789174732155,0.17786448750759534,0.5409872607776871,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,155,1029,19558,locked_zero_threshold,0.0,,,,,0.4341445955619184,0.5149886899110738,0.4249958747230804,0.6654882898806893,0.36448908994145823,0.35755189692197564
0.05,155,1029,19558,adaptation_balanced_accuracy_threshold,-0.02038707025471337,,,,,0.4419674813375601,0.5162945210182925,0.43097795140984474,0.6546619531595228,0.3779270888770623,0.3703855199918192
0.05,155,1029,19558,adaptation_platt_probability_0.5,,0.048877547514723105,1.211122573840055,0.17789345570145051,0.5410628656462512,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,156,1029,19558,locked_zero_threshold,0.0,,,,,0.4348604151753758,0.5156859944917627,0.4256629456096836,0.6661511268228016,0.3652208621607238,0.3579609367010942
0.05,156,1029,19558,adaptation_balanced_accuracy_threshold,-0.3267281623881263,,,,,0.5400858983536149,0.5077788242352094,0.4827618198436966,0.447635881573133,0.5679217668972858,0.5643215052663871
