stage,held_out_fold,model,model_name,ngram_max,min_df,model_parameter,mean_inner_macro_f1,sd_inner_macro_f1,validation_folds,fold_score_1,fold_score_2,fold_score_3,fold_score_4,fold_score_5
nested_inner,3.0,nb,Multinomial NB,2,2,0.1,0.9334836314321748,0.0006827290998562813,"1,2,4,5",0.933394861299069,0.9326694409115633,0.9335351731638057,0.9343350503542613,
nested_inner,3.0,nb,Multinomial NB,2,2,1.0,0.9345533151883474,0.0012685279750797352,"1,2,4,5",0.9352659456948922,0.9330808568221174,0.9358983313416263,0.9339681268947533,
nested_inner,3.0,nb,Multinomial NB,2,2,10.0,0.9238108260272693,0.0030462163310452984,"1,2,4,5",0.9241352309709454,0.9200104922263581,0.9274526661779958,0.9236449147337782,
nested_inner,3.0,nb,Multinomial NB,2,5,0.1,0.9312404558073348,0.0024598526457464236,"1,2,4,5",0.9312103709950824,0.9278431273612574,0.9323474093449478,0.9335609155280514,
nested_inner,3.0,nb,Multinomial NB,2,5,1.0,0.931255614579396,0.0019006113510837861,"1,2,4,5",0.9324168529904975,0.9284144722414845,0.9321473714183386,0.9320437616672637,
nested_inner,3.0,nb,Multinomial NB,2,5,10.0,0.9234600646083101,0.0028618569388068078,"1,2,4,5",0.9230453116066324,0.9209263171720297,0.9275450572384638,0.9223235724161145,
nested_inner,3.0,lr,Logistic Regression,1,2,0.1,0.9020122999266015,0.002046532429056129,"1,2,4,5",0.9029726006815373,0.8999402257851628,0.9044027432598232,0.9007336299798827,
nested_inner,3.0,lr,Logistic Regression,1,2,1.0,0.9317699415852019,0.00260296195625138,"1,2,4,5",0.9327709575098152,0.929294866459319,0.9349678427603565,0.930046099611317,
nested_inner,3.0,lr,Logistic Regression,1,2,10.0,0.9366080439181549,0.001160153313510247,"1,2,4,5",0.9353749084012242,0.9378266769539922,0.9373336517179455,0.9358969385994578,
nested_inner,3.0,lr,Logistic Regression,1,5,0.1,0.9049661681900985,0.00227251203204138,"1,2,4,5",0.9065200477455233,0.9025455108477706,0.9072493080532282,0.9035498061138718,
nested_inner,3.0,lr,Logistic Regression,1,5,1.0,0.9322229412277061,0.0028610579864871842,"1,2,4,5",0.9326561723307691,0.9294604336606658,0.9360356973513954,0.9307394615679938,
nested_inner,3.0,lr,Logistic Regression,1,5,10.0,0.9350629783601617,0.00013371147155454564,"1,2,4,5",0.9348659163794864,0.935105459318095,0.9351173497685263,0.9351631879745391,
nested_inner,3.0,lr,Logistic Regression,2,2,0.1,0.901015362913461,0.0031534657751069142,"1,2,4,5",0.9006170304514519,0.8989991583121046,0.9055911841628779,0.8988540787274095,
nested_inner,3.0,lr,Logistic Regression,2,2,1.0,0.9336593902671615,0.0024159192993872445,"1,2,4,5",0.9338426854395969,0.9314286438433415,0.9369639209198599,0.9324023108658476,
nested_inner,3.0,lr,Logistic Regression,2,2,10.0,0.9399795330938003,0.001648283421215822,"1,2,4,5",0.9406059588355851,0.9396487432376346,0.9417817130077357,0.937881717294246,
