outer_fold,model,model_name,pipeline,ngram_max,min_df,alpha,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall,C,max_depth
3,svm,Linear SVM,selected,2,2,,0.951156480165396,0.9505089114922518,0.9508419908531421,0.9418832075998882,0.9591346153846154,1.0,
3,rf,Random Forest,fixed,1,2,,0.9271223672309084,0.9248947183893224,0.9263994272747839,0.8952221290863369,0.9545673076923077,,
3,rf,Random Forest,selected,1,2,,0.9271223672309084,0.9248947183893224,0.9263994272747839,0.8952221290863369,0.9545673076923077,,
4,nb,Multinomial NB,fixed,1,2,1.0,0.934453781512605,0.9341697658723099,0.9340933684380938,0.9303885937936819,0.937950937950938,,
4,nb,Multinomial NB,selected,2,2,1.0,0.9393665158371041,0.939168970480125,0.9390401111452623,0.9365389991613083,0.9417989417989417,,
4,lr,Logistic Regression,fixed,1,2,,0.9378151260504202,0.9358509143244955,0.9372312773610978,0.9097008666480291,0.962000962000962,1.0,
4,lr,Logistic Regression,selected,2,2,,0.9473820297349709,0.9462729051770147,0.9469914031189004,0.9315068493150684,0.961038961038961,10.0,
4,svm,Linear SVM,fixed,1,2,,0.9404007756948933,0.9391739122658889,0.9399475141238076,0.9228403690243221,0.9555074555074555,1.0,
4,svm,Linear SVM,selected,2,2,,0.9464770523594053,0.9454506861551871,0.946090483020545,0.9317864131954151,0.9591149591149591,1.0,
4,rf,Random Forest,fixed,1,2,,0.9287653522947641,0.9269646422288301,0.9281357454785093,0.9029913335197093,0.950937950937951,,
4,rf,Random Forest,selected,1,2,,0.9287653522947641,0.9269646422288301,0.9281357454785093,0.9029913335197093,0.950937950937951,,
5,nb,Multinomial NB,fixed,1,2,1.0,0.9357798165137615,0.935466935138308,0.9354245769307257,0.9312849162011173,0.9396489540754989,,
5,nb,Multinomial NB,selected,2,2,1.0,0.9365551104793901,0.9360132700033985,0.9361740181750362,0.9287709497206704,0.9432555902861265,,
5,lr,Logistic Regression,fixed,1,2,,0.9343584442434423,0.932277916506036,0.9337276956633495,0.9044692737430168,0.9600865592690551,1.0,
5,lr,Logistic Regression,selected,2,2,,0.9444372657966146,0.9432106584495359,0.9440138755587391,0.9268156424581006,0.9596056744409713,10.0,
5,svm,Linear SVM,fixed,1,2,,0.9404315803075333,0.9391338162778171,0.9399708445406673,0.9217877094972067,0.9564799230584276,1.0,
5,svm,Linear SVM,selected,2,2,,0.9436619718309859,0.9425476619997555,0.9432479581264549,0.9276536312849162,0.9574416927145949,1.0,
5,rf,Random Forest,fixed,1,2,,0.9219537407933842,0.9197450571621617,0.9211917117663919,0.8902234636871509,0.9492666506371724,,
5,rf,Random Forest,selected,1,2,,0.9219537407933842,0.9197450571621617,0.9211917117663919,0.8902234636871509,0.9492666506371724,,
