stage,held_out_fold,model,model_name,ngram_max,min_df,model_parameter,mean_inner_macro_f1,sd_inner_macro_f1,validation_folds,fold_score_1,fold_score_2,fold_score_3,fold_score_4,fold_score_5
nested_inner,2.0,svm,Linear SVM,1,5,10.0,0.9194612091038519,0.0032236676822434574,"1,3,4,5",0.9211386039481164,0.9163672118179915,0.9171873763513534,0.9231516442979464,
nested_inner,2.0,svm,Linear SVM,2,2,0.1,0.936561790851236,0.003049489816315809,"1,3,4,5",0.9332329571888058,0.9347405748889696,0.9387913466217869,0.9394822847053816,
nested_inner,2.0,svm,Linear SVM,2,2,1.0,0.941834964974936,0.0027824553294251257,"1,3,4,5",0.9422773838563372,0.9380265704084858,0.9423217769975702,0.9447141286373508,
nested_inner,2.0,svm,Linear SVM,2,2,10.0,0.9337791267305173,0.0030921259602221733,"1,3,4,5",0.9352995427222394,0.9293824718525391,0.9340120252618828,0.936422467085408,
nested_inner,2.0,svm,Linear SVM,2,5,0.1,0.936567989655785,0.00252420909629737,"1,3,4,5",0.9345501120652371,0.9342218599133248,0.9386592741255211,0.9388407125190572,
nested_inner,2.0,svm,Linear SVM,2,5,1.0,0.9383349448952861,0.0027778786562112417,"1,3,4,5",0.9395082660316145,0.9358032883189393,0.9363269836276412,0.9417012416029494,
nested_inner,2.0,svm,Linear SVM,2,5,10.0,0.9225280460989165,0.0013646648201950172,"1,3,4,5",0.9205555227830982,0.9227451913959578,0.923638387110829,0.923173083105781,
nested_inner,3.0,svm,Linear SVM,1,2,0.1,0.934099933770794,0.004398331886520114,"1,2,4,5",0.9311161475831424,0.9298731888048816,0.9393287352069266,0.9360816634882252,
nested_inner,3.0,svm,Linear SVM,1,2,1.0,0.9387703862840256,0.0038040650858995988,"1,2,4,5",0.9368048107682247,0.9343781809956213,0.941795831659623,0.9421027217126334,
nested_inner,3.0,svm,Linear SVM,1,2,10.0,0.9224313892934334,0.0012760676637344442,"1,2,4,5",0.9234344277107379,0.9206480047487166,0.9232654257973318,0.922377698916947,
nested_inner,3.0,svm,Linear SVM,1,5,0.1,0.9339149213117081,0.004725944590296886,"1,2,4,5",0.9310098812114294,0.9289571894031085,0.9390860051257152,0.9366066095065793,
nested_inner,3.0,svm,Linear SVM,1,5,1.0,0.9359681936950203,0.005294661080323133,"1,2,4,5",0.9322300842817908,0.9306099544620716,0.9403674739999892,0.9406652620362298,
nested_inner,3.0,svm,Linear SVM,1,5,10.0,0.9198716581499358,0.0049203793658997045,"1,2,4,5",0.9177013685084491,0.9142613642049271,0.9255192352874787,0.922004664598888,
nested_inner,3.0,svm,Linear SVM,2,2,0.1,0.9354851493385803,0.003455252853604387,"1,2,4,5",0.9332001390309105,0.931872640624515,0.9381560057855879,0.9387118119133078,
nested_inner,3.0,svm,Linear SVM,2,2,1.0,0.9417312972356349,0.0034997003053174477,"1,2,4,5",0.9406858583103672,0.9372342715523299,0.9446870114763095,0.9443180476035329,
nested_inner,3.0,svm,Linear SVM,2,2,10.0,0.9320623594077933,0.0033463612677971967,"1,2,4,5",0.931917780186668,0.9278305697616058,0.9359954152137415,0.9325056724691575,
nested_inner,3.0,svm,Linear SVM,2,5,0.1,0.9352156173421751,0.0032969083556315198,"1,2,4,5",0.9338701010284489,0.9311863091530433,0.9381466545764503,0.9376594046107571,
nested_inner,3.0,svm,Linear SVM,2,5,1.0,0.9386055813594375,0.004751430983299936,"1,2,4,5",0.9404222855763402,0.9315137365152715,0.9409114459729,0.9415748573732383,
nested_inner,3.0,svm,Linear SVM,2,5,10.0,0.9227021449518995,0.003003316630792155,"1,2,4,5",0.9236846349306607,0.9182825771784482,0.9238483576273632,0.9249930100711261,
nested_inner,4.0,svm,Linear SVM,1,2,0.1,0.9339545573490201,0.003623104084387886,"1,2,3,5",0.9351980879577275,0.9287981993212344,0.9345709815198545,0.9372509605972641,
nested_inner,4.0,svm,Linear SVM,1,2,1.0,0.9381532525742788,0.003422707457683978,"1,2,3,5",0.9392903119895848,0.9334564261359775,0.9382815117810102,0.9415847603905431,
nested_inner,4.0,svm,Linear SVM,1,2,10.0,0.9222914242059982,0.003585998566308282,"1,2,3,5",0.9251188537450952,0.9172380883878624,0.9245380146512178,0.9222707400398175,
nested_inner,4.0,svm,Linear SVM,1,5,0.1,0.9330799693680161,0.0033016478116437552,"1,2,3,5",0.934414193860442,0.9286884714501045,0.9327426257140221,0.9364745864474957,
nested_inner,4.0,svm,Linear SVM,1,5,1.0,0.9349621287618601,0.0033548464124437656,"1,2,3,5",0.9364329118391506,0.9306007887326713,0.9343576714137913,0.9384571430618276,
nested_inner,4.0,svm,Linear SVM,1,5,10.0,0.9195068075598476,0.004072743925549271,"1,2,3,5",0.9194278486559662,0.9138510822007476,0.9215602198401891,0.9231880795424875,
nested_inner,4.0,svm,Linear SVM,2,2,0.1,0.9357512959875707,0.002747153194981747,"1,2,3,5",0.9379891867357611,0.9324778664562241,0.934482884278748,0.9380552464795493,
nested_inner,4.0,svm,Linear SVM,2,2,1.0,0.942452316594658,0.002576627169999459,"1,2,3,5",0.9432064540202247,0.9391780230136855,0.9420613786995908,0.9453634106451312,
nested_inner,4.0,svm,Linear SVM,2,2,10.0,0.9340588753573104,0.0019087401545654142,"1,2,3,5",0.935282422504083,0.9312919979069046,0.9342891283399084,0.9353719526783455,
nested_inner,4.0,svm,Linear SVM,2,5,0.1,0.9349299272345108,0.00272546777332462,"1,2,3,5",0.9359990815139487,0.9317086142069102,0.9339506864855194,0.9380613267316651,
nested_inner,4.0,svm,Linear SVM,2,5,1.0,0.937399468220694,0.0027962422406879236,"1,2,3,5",0.9382192867703902,0.9346327937258341,0.9358004267808941,0.9409453656056574,
nested_inner,4.0,svm,Linear SVM,2,5,10.0,0.9238191882330933,0.0032312135866091165,"1,2,3,5",0.924563654178774,0.919184869471039,0.9248352426566312,0.9266929866259288,
nested_inner,5.0,svm,Linear SVM,1,2,0.1,0.9337978944804168,0.0032052710596818727,"1,2,3,4",0.9332508599885095,0.9304064883560026,0.9333938524539518,0.9381403771232033,
nested_inner,5.0,svm,Linear SVM,1,2,1.0,0.9365811550023161,0.002140678333091835,"1,2,3,4",0.9364212642292141,0.9345155855430056,0.9358258604527694,0.9395619097842752,
nested_inner,5.0,svm,Linear SVM,1,2,10.0,0.9205026419066363,0.00252181030365212,"1,2,3,4",0.9225651302416416,0.916842401919475,0.9215762553859281,0.9210267800795005,
nested_inner,5.0,svm,Linear SVM,1,5,0.1,0.9341316072551443,0.0035164306957035135,"1,2,3,4",0.9344317120816372,0.930420937761362,0.932885555327882,0.9387882238496958,
nested_inner,5.0,svm,Linear SVM,1,5,1.0,0.9357983035746067,0.002979356447680384,"1,2,3,4",0.9349955977684807,0.933204886716436,0.9348989890829578,0.9400937407305527,
nested_inner,5.0,svm,Linear SVM,1,5,10.0,0.9195263594646073,0.002618833723867602,"1,2,3,4",0.9212535615699317,0.9179008451523084,0.9167420035300702,0.9222090276061189,
nested_inner,5.0,svm,Linear SVM,2,2,0.1,0.9351500514676057,0.002715085855974414,"1,2,3,4",0.9337662810720064,0.9342151298398382,0.9334251290877796,0.9391936658707984,
nested_inner,5.0,svm,Linear SVM,2,2,1.0,0.9408858219291976,0.0036527354610590324,"1,2,3,4",0.9408777741865977,0.9371110336920829,0.9397257309464725,0.9458287488916374,
nested_inner,5.0,svm,Linear SVM,2,2,10.0,0.9321244829701396,0.00351992877590032,"1,2,3,4",0.9322100548832917,0.9283185823891351,0.931177774375075,0.9367915202330563,
nested_inner,5.0,svm,Linear SVM,2,5,0.1,0.9352843896457439,0.002786690520325276,"1,2,3,4",0.9352085006287234,0.9323912355849724,0.9344761809119024,0.9390616414573778,
nested_inner,5.0,svm,Linear SVM,2,5,1.0,0.9374967080821701,0.0025230248259444153,"1,2,3,4",0.937331809430035,0.9346181568446891,0.9372645201999809,0.9407723458539758,
nested_inner,5.0,svm,Linear SVM,2,5,10.0,0.9230799686701446,0.0025101684792026603,"1,2,3,4",0.9211251021601419,0.9208545142909835,0.9243361189984511,0.9260041392310021,
